Fecha,Moneda,Venta
2023-08-16,EUR,4.219
2023-08-17,EUR,4.224
2023-08-18,EUR,4.36
2023-08-19,EUR,4.36
2023-08-20,EUR,4.36
2023-08-21,EUR,4.295
2023-08-22,EUR,4.255
2023-08-23,EUR,4.276
2023-08-24,EUR,4.273
2023-08-25,EUR,4.185
2023-08-26,EUR,4.185
2023-08-27,EUR,4.185
2023-08-28,EUR,4.371
2023-08-29,EUR,4.173
2023-08-30,EUR,4.173
2023-08-31,EUR,4.233
2023-09-01,EUR,4.299
2023-09-02,EUR,4.299
2023-09-03,EUR,4.299
2023-09-04,EUR,4.235
2023-09-05,EUR,4.331
2023-09-06,EUR,4.125
2023-09-07,EUR,4.187
2023-09-08,EUR,4.119
2023-09-09,EUR,4.119
2023-09-10,EUR,4.119
2023-09-11,EUR,4.308
2023-09-12,EUR,4.138
2023-09-13,EUR,4.226
2023-09-14,EUR,4.285
2023-09-15,EUR,4.046
2023-09-16,EUR,4.046
2023-09-17,EUR,4.046
2023-09-18,EUR,4.253
2023-09-19,EUR,4.174
2023-09-20,EUR,4.276
2023-09-21,EUR,4.283
2023-09-22,EUR,4.129
2023-09-23,EUR,4.129
2023-09-24,EUR,4.129
2023-09-25,EUR,4.238
2023-09-26,EUR,4.075
2023-09-27,EUR,4.243
2023-09-28,EUR,4.293
2023-09-29,EUR,4.195
2023-09-30,EUR,4.195
2023-10-01,EUR,4.195
2023-10-02,EUR,4.208
2023-10-03,EUR,4.071
2023-10-04,EUR,4.142
2023-10-05,EUR,4.279
2023-10-06,EUR,4.243
2023-10-07,EUR,4.243
2023-10-08,EUR,4.243
2023-10-09,EUR,4.332
2023-10-10,EUR,4.309
2023-10-11,EUR,4.394
2023-10-12,EUR,4.394
2023-10-13,EUR,4.204
2023-10-14,EUR,4.204
2023-10-15,EUR,4.204
2023-10-16,EUR,4.385
2023-10-17,EUR,4.406
2023-10-18,EUR,4.278
2023-10-19,EUR,4.415
2023-10-20,EUR,4.391
2023-10-21,EUR,4.391
2023-10-22,EUR,4.391
2023-10-23,EUR,4.404
2023-10-24,EUR,4.27
2023-10-25,EUR,4.249
2023-10-26,EUR,4.349
2023-10-27,EUR,4.371
2023-10-28,EUR,4.371
2023-10-29,EUR,4.371
2023-10-30,EUR,4.387
2023-10-31,EUR,4.372
2023-11-01,EUR,4.372
2023-11-02,EUR,4.365
2023-11-03,EUR,4.343
2023-11-04,EUR,4.343
2023-11-05,EUR,4.343
2023-11-06,EUR,4.254
2023-11-07,EUR,4.273
2023-11-08,EUR,4.387
2023-11-09,EUR,4.391
2023-11-10,EUR,4.277
2023-11-11,EUR,4.277
2023-11-12,EUR,4.277
2023-11-13,EUR,4.425
2023-11-14,EUR,4.228
2023-11-15,EUR,4.132
2023-11-16,EUR,4.309
2023-11-17,EUR,4.167
2023-11-18,EUR,4.167
2023-11-19,EUR,4.167
2023-11-20,EUR,4.293
2023-11-21,EUR,4.162
2023-11-22,EUR,4.17
2023-11-23,EUR,4.243
2023-11-24,EUR,4.166
2023-11-25,EUR,4.166
2023-11-26,EUR,4.166
2023-11-27,EUR,4.1
2023-11-28,EUR,4.397
2023-11-29,EUR,4.13
2023-11-30,EUR,4.261
2023-12-01,EUR,4.426
2023-12-02,EUR,4.426
2023-12-03,EUR,4.426
2023-12-04,EUR,4.387
2023-12-05,EUR,4.174
2023-12-06,EUR,4.339
2023-12-07,EUR,4.382
2023-12-08,EUR,4.382
2023-12-09,EUR,4.382
2023-12-10,EUR,4.382
2023-12-11,EUR,4.456
2023-12-12,EUR,4.374
2023-12-13,EUR,4.375
2023-12-14,EUR,4.414
2023-12-15,EUR,4.378
2023-12-16,EUR,4.378
2023-12-17,EUR,4.378
2023-12-18,EUR,4.396
2023-12-19,EUR,4.37
2023-12-20,EUR,4.389
2023-12-21,EUR,4.315
2023-12-22,EUR,4.276
2023-12-23,EUR,4.276
2023-12-24,EUR,4.276
2023-12-25,EUR,4.276
2023-12-26,EUR,4.374
2023-12-27,EUR,4.341
2023-12-28,EUR,4.344
2023-12-29,EUR,4.378
2023-12-30,EUR,4.378
2023-12-31,EUR,4.378
2024-01-01,EUR,4.378
2024-01-02,EUR,4.378
2024-01-03,EUR,4.263
2024-01-04,EUR,4.439
2024-01-05,EUR,4.401
2024-01-06,EUR,4.401
2024-01-07,EUR,4.401
2024-01-08,EUR,4.291
2024-01-09,EUR,4.394
2024-01-10,EUR,4.291
2024-01-11,EUR,4.394
2024-01-12,EUR,4.357
2024-01-13,EUR,4.357
2024-01-14,EUR,4.357
2024-01-15,EUR,4.305
2024-01-16,EUR,4.364
2024-01-17,EUR,4.375
2024-01-18,EUR,4.398
2024-01-19,EUR,4.478
2024-01-20,EUR,4.478
2024-01-21,EUR,4.478
2024-01-22,EUR,4.105
2024-01-23,EUR,4.143
2024-01-24,EUR,4.283
2024-01-25,EUR,4.456
2024-01-26,EUR,4.28
2024-01-27,EUR,4.28
2024-01-28,EUR,4.28
2024-01-29,EUR,4.348
2024-01-30,EUR,4.227
2024-01-31,EUR,4.465
2024-02-01,EUR,4.378
2024-02-02,EUR,4.484
2024-02-03,EUR,4.484
2024-02-04,EUR,4.484
2024-02-05,EUR,4.422
2024-02-06,EUR,4.189
2024-02-07,EUR,4.371
2024-02-08,EUR,4.41
2024-02-09,EUR,4.552
2024-02-10,EUR,4.552
2024-02-11,EUR,4.552
2024-02-12,EUR,4.381
2024-02-13,EUR,4.429
2024-02-14,EUR,4.336
2024-02-15,EUR,4.479
2024-02-16,EUR,4.461
2024-02-17,EUR,4.461
2024-02-18,EUR,4.461
2024-02-19,EUR,4.367
2024-02-20,EUR,4.385
2024-02-21,EUR,4.259
2024-02-22,EUR,4.392
2024-02-23,EUR,4.427
2024-02-24,EUR,4.427
2024-02-25,EUR,4.427
2024-02-26,EUR,4.429
2024-02-27,EUR,4.403
2024-02-28,EUR,4.437
2024-02-29,EUR,4.468
2024-03-01,EUR,4.458
2024-03-02,EUR,4.458
2024-03-03,EUR,4.458
2024-03-04,EUR,4.374
2024-03-05,EUR,4.408
2024-03-06,EUR,4.208
2024-03-07,EUR,4.426
2024-03-08,EUR,4.345
2024-03-09,EUR,4.345
2024-03-10,EUR,4.345
2024-03-11,EUR,4.249
2024-03-12,EUR,4.335
2024-03-13,EUR,4.263
2024-03-14,EUR,4.341
2024-03-15,EUR,4.335
2024-03-16,EUR,4.335
2024-03-17,EUR,4.335
2024-03-18,EUR,4.33
2024-03-19,EUR,4.202
2024-03-20,EUR,4.257
2024-03-21,EUR,4.046
2024-03-22,EUR,4.311
2024-03-23,EUR,4.311
2024-03-24,EUR,4.311
2024-03-25,EUR,4.311
2024-03-26,EUR,4.263
2024-03-27,EUR,4.208
2024-03-28,EUR,4.208
2024-03-29,EUR,4.208
2024-03-30,EUR,4.208
2024-03-31,EUR,4.208
2024-04-01,EUR,4.271
2024-04-02,EUR,4.313
2024-04-03,EUR,4.266
2024-04-04,EUR,4.366
2024-04-05,EUR,4.256
2024-04-06,EUR,4.256
2024-04-07,EUR,4.256
2024-04-08,EUR,4.269
2024-04-09,EUR,4.143
2024-04-10,EUR,4.337
2024-04-11,EUR,4.328
2024-04-12,EUR,4.314
2024-04-13,EUR,4.314
2024-04-14,EUR,4.314
2024-04-15,EUR,4.313
2024-04-16,EUR,4.285
2024-04-17,EUR,4.387
2024-04-18,EUR,4.338
2024-04-19,EUR,4.263
2024-04-20,EUR,4.263
2024-04-21,EUR,4.263
2024-04-22,EUR,4.312
2024-04-23,EUR,4.27
2024-04-24,EUR,4.245
2024-04-25,EUR,4.194
2024-04-26,EUR,4.195
2024-04-27,EUR,4.195
2024-04-28,EUR,4.195
2024-04-29,EUR,4.31
2024-04-30,EUR,4.348
2024-05-01,EUR,4.348
2024-05-02,EUR,4.329
2024-05-03,EUR,4.155
2024-05-04,EUR,4.155
2024-05-05,EUR,4.155
2024-05-06,EUR,4.318
2024-05-07,EUR,4.285
2024-05-08,EUR,4.095
2024-05-09,EUR,4.303
2024-05-10,EUR,4.29
2024-05-11,EUR,4.29
2024-05-12,EUR,4.29
2024-05-13,EUR,4.319
2024-05-14,EUR,4.354
2024-05-15,EUR,4.081
2024-05-16,EUR,4.127
2024-05-17,EUR,4.321
2024-05-18,EUR,4.321
2024-05-19,EUR,4.321
2024-05-20,EUR,4.353
2024-05-21,EUR,4.373
2024-05-22,EUR,4.315
2024-05-23,EUR,4.243
2024-05-24,EUR,4.347
2024-05-25,EUR,4.347
2024-05-26,EUR,4.347
2024-05-27,EUR,4.368
2024-05-28,EUR,4.417
2024-05-29,EUR,4.392
2024-05-30,EUR,4.431
2024-05-31,EUR,4.251
2024-06-01,EUR,4.251
2024-06-02,EUR,4.251
2024-06-03,EUR,4.31
2024-06-04,EUR,4.326
2024-06-05,EUR,4.326
2024-06-06,EUR,4.357
2024-06-07,EUR,4.357
2024-06-08,EUR,4.357
2024-06-09,EUR,4.357
2024-06-10,EUR,4.442
2024-06-11,EUR,4.404
2024-06-12,EUR,4.304
2024-06-13,EUR,4.445
2024-06-14,EUR,4.41
2024-06-15,EUR,4.41
2024-06-16,EUR,4.41
2024-06-17,EUR,4.328
2024-06-18,EUR,4.152
2024-06-19,EUR,4.399
2024-06-20,EUR,4.393
2024-06-21,EUR,4.412
2024-06-22,EUR,4.412
2024-06-23,EUR,4.412
2024-06-24,EUR,4.348
2024-06-25,EUR,4.318
2024-06-26,EUR,4.188
2024-06-27,EUR,4.362
2024-06-28,EUR,4.34
2024-06-29,EUR,4.34
2024-06-30,EUR,4.34
2024-07-01,EUR,4.417
2024-07-02,EUR,4.401
2024-07-03,EUR,4.252
2024-07-04,EUR,4.457
2024-07-05,EUR,4.328
2024-07-06,EUR,4.328
2024-07-07,EUR,4.328
2024-07-08,EUR,4.295
2024-07-09,EUR,4.318
2024-07-10,EUR,4.408
2024-07-11,EUR,4.13
2024-07-12,EUR,4.225
2024-07-13,EUR,4.225
2024-07-14,EUR,4.225
2024-07-15,EUR,4.337
2024-07-16,EUR,4.282
2024-07-17,EUR,4.162
