Fecha,Moneda,Venta
2023-10-16,USD,3.859
2023-10-17,USD,3.861
2023-10-18,USD,3.872
2023-10-19,USD,3.873
2023-10-20,USD,3.876
2023-10-21,USD,3.876
2023-10-22,USD,3.876
2023-10-23,USD,3.877
2023-10-24,USD,3.87
2023-10-25,USD,3.871
2023-10-26,USD,3.872
2023-10-27,USD,3.863
2023-10-28,USD,3.863
2023-10-29,USD,3.863
2023-10-30,USD,3.851
2023-10-31,USD,3.842
2023-11-01,USD,3.842
2023-11-02,USD,3.807
2023-11-03,USD,3.759
2023-11-04,USD,3.759
2023-11-05,USD,3.759
2023-11-06,USD,3.765
2023-11-07,USD,3.775
2023-11-08,USD,3.797
2023-11-09,USD,3.797
2023-11-10,USD,3.813
2023-11-11,USD,3.813
2023-11-12,USD,3.813
2023-11-13,USD,3.813
2023-11-14,USD,3.777
2023-11-15,USD,3.775
2023-11-16,USD,3.772
2023-11-17,USD,3.775
2023-11-18,USD,3.775
2023-11-19,USD,3.775
2023-11-20,USD,3.749
2023-11-21,USD,3.745
2023-11-22,USD,3.746
2023-11-23,USD,3.741
2023-11-24,USD,3.739
2023-11-25,USD,3.739
2023-11-26,USD,3.739
2023-11-27,USD,3.729
2023-11-28,USD,3.732
2023-11-29,USD,3.737
2023-11-30,USD,3.739
2023-12-01,USD,3.737
2023-12-02,USD,3.737
2023-12-03,USD,3.737
2023-12-04,USD,3.744
2023-12-05,USD,3.755
2023-12-06,USD,3.757
2023-12-07,USD,3.757
2023-12-08,USD,3.757
2023-12-09,USD,3.757
2023-12-10,USD,3.757
2023-12-11,USD,3.774
2023-12-12,USD,3.778
2023-12-13,USD,3.785
2023-12-14,USD,3.772
2023-12-15,USD,3.771
2023-12-16,USD,3.771
2023-12-17,USD,3.771
2023-12-18,USD,3.756
2023-12-19,USD,3.719
2023-12-20,USD,3.712
2023-12-21,USD,3.709
2023-12-22,USD,3.69
2023-12-23,USD,3.69
2023-12-24,USD,3.69
2023-12-25,USD,3.69
2023-12-26,USD,3.696
2023-12-27,USD,3.694
2023-12-28,USD,3.705
2023-12-29,USD,3.713
2023-12-30,USD,3.713
2023-12-31,USD,3.713
2024-01-01,USD,3.713
2024-01-02,USD,3.713
2024-01-03,USD,3.738
2024-01-04,USD,3.74
2024-01-05,USD,3.723
2024-01-06,USD,3.723
2024-01-07,USD,3.723
2024-01-08,USD,3.719
2024-01-09,USD,3.708
2024-01-10,USD,3.704
2024-01-11,USD,3.703
2024-01-12,USD,3.696
2024-01-13,USD,3.696
2024-01-14,USD,3.696
2024-01-15,USD,3.704
2024-01-16,USD,3.718
2024-01-17,USD,3.739
2024-01-18,USD,3.742
2024-01-19,USD,3.743
2024-01-20,USD,3.743
2024-01-21,USD,3.743
2024-01-22,USD,3.746
2024-01-23,USD,3.755
2024-01-24,USD,3.76
